2021-12-14 01:12:508 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-14 01:12:55 INFO  HomePage :53 - Click on computer link : [[ChromeDriver: chrome on WINDOWS (cf9a136dd789a0e1bff200a3f14e9c5f)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2021-12-14 01:12:177 INFO  HomePage :53 - Click on computer link : [[ChromeDriver: chrome on WINDOWS (cf9a136dd789a0e1bff200a3f14e9c5f)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2021-12-14 01:12:233 INFO  ComputerPage :32 - Verify Computer Page : Computers
2021-12-14 01:12:217 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-14 01:12:832 INFO  HomePage :41 - Click on Login Link : [[ChromeDriver: chrome on WINDOWS (97c6b6924bf87ca98a928937d5b087d2)] -> xpath: //a[normalize-space()='Log in']]
2021-12-14 01:12:941 INFO  HomePage :41 - Click on Login Link : [[ChromeDriver: chrome on WINDOWS (97c6b6924bf87ca98a928937d5b087d2)] -> xpath: //a[normalize-space()='Log in']]
2021-12-14 01:12:08 INFO  LoginPage :46 - verifying the welcome message : [[ChromeDriver: chrome on WINDOWS (97c6b6924bf87ca98a928937d5b087d2)] -> xpath: //h1[normalize-space()='Welcome, Please Sign In!']]
2021-12-14 01:12:839 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-14 01:12:144 INFO  RegisterPage :138 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (5459a096d862e46dcc742315735d6383)] -> xpath: //a[normalize-space()='Register']]
2021-12-14 01:12:288 INFO  RegisterPage :138 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (5459a096d862e46dcc742315735d6383)] -> xpath: //a[normalize-space()='Register']]
2021-12-14 01:12:348 INFO  RegisterPage :148 - Verifying the Register Text : [[ChromeDriver: chrome on WINDOWS (5459a096d862e46dcc742315735d6383)] -> xpath: //h1[normalize-space()='Register']]
2021-12-14 01:12:618 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-14 01:12:900 INFO  HomePage :53 - Click on computer link : [[ChromeDriver: chrome on WINDOWS (2ceab0f0f425f69ac09a7637e72c074e)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2021-12-14 01:12:162 INFO  ComputerPage :37 - Click On Desktop : Proxy element for: DefaultElementLocator 'By.xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']'
2021-12-14 01:12:235 INFO  DesktopsPage :35 - Verify Desktop Page : [[ChromeDriver: chrome on WINDOWS (2ceab0f0f425f69ac09a7637e72c074e)] -> xpath: //h1[normalize-space()='Desktops']]
2021-12-14 01:12:45 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-14 01:12:412 INFO  HomePage :41 - Click on Login Link : [[ChromeDriver: chrome on WINDOWS (d746ec27f00d48813bc84334d847e722)] -> xpath: //a[normalize-space()='Log in']]
2021-12-14 01:12:530 INFO  LoginPage :54 - Entering the email : Prime@gmail.com
2021-12-14 01:12:629 INFO  LoginPage :60 - Entering the password :  
2021-12-14 01:12:722 INFO  LoginPage :67 - Clicking on login button : [[ChromeDriver: chrome on WINDOWS (d746ec27f00d48813bc84334d847e722)] -> xpath: //button[normalize-space()='Log in']]
2021-12-14 01:12:767 INFO  LoginPage :75 - Verify Login successful : Login was unsuccessful. Please correct the errors and try again.
The credentials provided are incorrect
2021-12-14 01:12:567 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-14 01:12:862 INFO  RegisterPage :138 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (fc17ab702fdb3baf0787e85216aa6c26)] -> xpath: //a[normalize-space()='Register']]
2021-12-14 01:12:989 INFO  RegisterPage :127 - Click on Register : [[ChromeDriver: chrome on WINDOWS (fc17ab702fdb3baf0787e85216aa6c26)] -> xpath: //button[@id='register-button']]
2021-12-14 01:12:39 INFO  RegisterPage :153 - Verifying the first name is required : First name is required.
2021-12-14 01:12:85 INFO  RegisterPage :159 - Verifying the last name is required : Last name is required.
2021-12-14 01:12:134 INFO  RegisterPage :164 - Verifying email is required : [[ChromeDriver: chrome on WINDOWS (fc17ab702fdb3baf0787e85216aa6c26)] -> xpath: //h1[normalize-space()='Register']]
2021-12-14 01:12:170 INFO  RegisterPage :170 - Verifying password is required : Password is required.
2021-12-14 01:12:205 INFO  RegisterPage :176 - Verifying Confirmation password is required : Password is required.
2021-12-14 01:12:08 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-14 01:12:251 INFO  HomePage :53 - Click on computer link : [[ChromeDriver: chrome on WINDOWS (7beb5c5c9125e5edcf1a27a3cced6978)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2021-12-14 01:12:353 INFO  HomePage :53 - Click on computer link : [[ChromeDriver: chrome on WINDOWS (7beb5c5c9125e5edcf1a27a3cced6978)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2021-12-14 01:12:396 INFO  ComputerPage :32 - Verify Computer Page : Computers
2021-12-14 01:12:163 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-14 01:12:784 INFO  HomePage :53 - Click on computer link : [[ChromeDriver: chrome on WINDOWS (263b54288880097823c2748e7b5290a2)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2021-12-14 01:12:306 INFO  ComputerPage :37 - Click On Desktop : Proxy element for: DefaultElementLocator 'By.xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']'
2021-12-14 01:12:371 INFO  DesktopsPage :35 - Verify Desktop Page : [[ChromeDriver: chrome on WINDOWS (263b54288880097823c2748e7b5290a2)] -> xpath: //h1[normalize-space()='Desktops']]
2021-12-14 01:12:206 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-14 01:12:174 INFO  HomePage :53 - Click on computer link : [[ChromeDriver: chrome on WINDOWS (a0e83924cc9ca95bcce4f616c43c8d71)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2021-12-14 01:12:670 INFO  ComputerPage :37 - Click On Desktop : Proxy element for: DefaultElementLocator 'By.xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']'
2021-12-14 01:12:614 INFO  DesktopsPage :40 - Click on Build your own Computer : Proxy element for: DefaultElementLocator 'By.xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']'
2021-12-14 01:12:838 INFO  BuildYourOwnComputerPage :53 - Select Processor : 2.2 GHz Intel Pentium Dual-Core E2200
2021-12-14 01:12:62 INFO  BuildYourOwnComputerPage :59 - Select RAM : 2 GB
2021-12-14 01:12:144 INFO  BuildYourOwnComputerPage :69 - Select HDD : 320 GB
2021-12-14 01:12:223 INFO  BuildYourOwnComputerPage :79 - Select OS : Vista Home [+$50.00]
2021-12-14 01:12:300 INFO  BuildYourOwnComputerPage :91 - Select Software : Microsoft Office [+$50.00]
2021-12-14 01:12:392 INFO  BuildYourOwnComputerPage :98 - Click On add to cart : [[ChromeDriver: chrome on WINDOWS (a0e83924cc9ca95bcce4f616c43c8d71)] -> xpath: //button[normalize-space()='Add to cart']]
2021-12-14 01:12:255 INFO  BuildYourOwnComputerPage :103 - Verify product added to cart : The product has been added to your shopping cart
2021-12-14 01:12:73 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-14 01:12:359 INFO  HomePage :53 - Click on computer link : [[ChromeDriver: chrome on WINDOWS (0bb78ab1779ecf6a082d8625bd190ea9)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2021-12-14 01:12:524 INFO  ComputerPage :37 - Click On Desktop : Proxy element for: DefaultElementLocator 'By.xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']'
